model,layer,region,test_R_2,test_R_2,test_R_2,electrode
,,,mean,std,count,count
GPT,early,G_temp_sup-G_T_transv,0.26279907862523,,1,1
GPT,early,G_temp_sup-Lateral,0.1892839701677627,0.03497074677967596,3,3
GPT,early,G_temporal_inf,0.2234294264412654,0.14767831177835147,2,2
GPT,early,G_temporal_middle,0.17051167503356907,0.06627350834245546,4,4
GPT,early,Hippocampus,0.20716575556409317,0.10520657014660637,4,4
GPT,early,Lat_Fis-ant-Horizont,0.11900509074861187,,1,1
GPT,early,Lat_Fis-post,0.2371715489589517,0.013306659612337374,2,2
GPT,early,Pole_temporal,0.20896565955660915,0.08802217287477047,13,13
GPT,early,S_central,0.21410340991858368,0.06886607511376634,2,2
GPT,early,S_cingul-Marginalis,0.1291318139854084,,1,1
GPT,early,S_circular_insula_inf,0.1075169699614108,,1,1
GPT,early,S_circular_insula_sup,0.1257562395731429,0.005846666386773318,3,3
GPT,early,S_collat_transv_ant,0.23307040789797973,0.0733129130740795,4,4
GPT,early,S_front_inf,0.11900509074861187,,1,1
GPT,early,S_front_sup,0.20977456561815377,0.0513918104983017,5,5
GPT,early,S_interm_prim-Jensen,0.23494641130907168,,1,1
GPT,early,S_oc-temp_lat,0.20947434023477085,,1,1
GPT,early,S_oc-temp_med_and_Lingual,0.11900509074861187,,1,1
GPT,early,S_oc_middle_and_Lunatus,0.1489032300337464,,1,1
GPT,early,S_orbital-H_Shaped,0.1802780408814616,0.07214581398716391,3,3
GPT,early,S_orbital_lateral,0.3278537621339189,,1,1
GPT,early,S_orbital_med-olfact,0.17918878513425862,0.042830242767142056,2,2
GPT,early,S_pericallosal,0.23452211810836798,0.09990826608190861,3,3
GPT,early,S_postcentral,0.12756209249995598,0.0022199214138752597,2,2
GPT,early,S_precentral-inf-part,0.2090398449702219,0.08215646734404783,5,5
GPT,early,S_precentral-sup-part,0.1282100999975786,0.02926450514509855,2,2
GPT,early,S_temporal_inf,0.22325134079840328,0.0740567254978908,5,5
GPT,early,S_temporal_sup,0.20110599019377734,0.0560133523167704,7,7
GPT,last,Amygdala,0.14785031863773868,0.04437646274415506,6,6
GPT,last,G_and_S_cingul-Ant,0.20200395584806288,0.07362904944985409,8,8
